Wall time,Step,Value
1521754850.8501956,26880,0.46807146072387695
1521754863.8545976,26920,0.42296868562698364
1521754876.8559928,26960,0.39259663224220276
1521754883.364207,26980,0.3989591598510742
1521754889.8875315,27000,0.40243399143218994
1521754896.3896525,27020,0.4240904152393341
1521754902.8938599,27040,0.4026243984699249
1521754928.8966572,27120,0.42644935846328735
1521754954.9034479,27200,0.35086625814437866
1521754967.9148672,27240,0.46109089255332947
1521754974.4150639,27260,0.47038552165031433
1521754993.9276776,27320,0.4215555787086487
1521755000.4348917,27340,0.4113292694091797
1521755006.9330819,27360,0.4003591239452362
1521755026.4577322,27420,0.4448229670524597
1521755045.9693394,27480,0.459537148475647
1521755052.4715402,27500,0.4120940566062927
1521755058.9677281,27520,0.42189908027648926
1521755071.9721298,27560,0.4429795444011688
1521755078.4813464,27580,0.48349663615226746
1521755084.9835472,27600,0.4626219868659973
1521755097.9909558,27640,0.4069971442222595
1521755104.4861414,27660,0.46570298075675964
1521755117.489541,27700,0.5000655055046082
1521755123.9997594,27720,0.4251823127269745
1521755130.504967,27740,0.39343029260635376
1521755137.0292158,27760,0.41039955615997314
1521755143.5364277,27780,0.44461995363235474
1521755150.037633,27800,0.4516887962818146
1521755163.0460203,27840,0.42600637674331665
1521755169.548238,27860,0.4477631151676178
1521755189.0578475,27920,0.4345560669898987
1521755226.732141,28020,0.41031166911125183
1521755252.7429495,28100,0.42978647351264954
1521755304.8236947,28260,0.45258796215057373
1521755311.333913,28280,0.4360658824443817
1521755317.8401058,28300,0.3981959819793701
1521755324.3633697,28320,0.48759856820106506
1521755330.8796015,28340,0.4399248957633972
1521755350.3932192,28400,0.43165287375450134
1521755369.918864,28460,0.4540375769138336
1521755376.4380832,28480,0.4411664307117462
1521755389.4785824,28520,0.4371502101421356
1521755395.9898076,28540,0.44535279273986816
1521755402.5050142,28560,0.40131232142448425
1521755409.0142486,28580,0.3916928470134735
1521755422.034667,28620,0.42693305015563965
1521755435.0621445,28660,0.47866708040237427
1521755441.5643454,28680,0.385701447725296
1521755448.0685253,28700,0.3788832724094391
1521755461.0759523,28740,0.4404739737510681
1521755467.593184,28760,0.42095598578453064
1521755474.0995424,28780,0.3976748585700989
1521755487.1218374,28820,0.3665345311164856
1521755500.1292458,28860,0.38426917791366577
1521755539.2105997,28980,0.43986210227012634
1521755552.216004,29020,0.45227837562561035
1521755578.2478578,29100,0.4088866710662842
1521755584.771086,29120,0.4347439408302307
1521755591.2743082,29140,0.4420274496078491
1521755617.3231804,29220,0.44185885787010193
1521755649.8802862,29320,0.4762516915798187
1521755656.396536,29340,0.3759930729866028
1521755682.4494178,29420,0.4730975031852722
1521755708.4852993,29500,0.39775606989860535
1521755728.0259767,29560,0.4621109366416931
1521755747.5476124,29620,0.45239564776420593
1521755754.0740077,29640,0.39158597588539124
1521755760.5781484,29660,0.44114741683006287
1521755780.0856757,29720,0.40875229239463806
1521755786.5999029,29740,0.4275202453136444
1521755806.1115005,29800,0.42317578196525574
